uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,BurialMoundAuthor,TypeClean,Type Note,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositionInTheLandscape,MoundProminence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1.0000316642752883e+018,8665,Verka Dolezalkova,2022-09-27 10:41:46.541 GMT,Verka Dolezalkova,2022-09-27 10:41:46 GMT,8665,27 Sep,Verka Dolezalkova,Surface Scatter,,Legacy verification,pottery scatter,Annual agriculture,,Annual agriculture,,Lower slope,Nil,42.499526666666661,26.769433333333335,4705266.2739109909,481055.08133856143,1.3999999999999999,,,No Observation,754,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8665_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8665_2.jpg''}}",0,200,NA,NA,,pottery scatter in a radius of 200m from the point,Artefact scatter,Roman pottery,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(481055.081339 4705266.273911)
1.0000316642764101e+018,8666,Verka Dolezalkova,2022-09-27 11:00:29.360 GMT,Verka Dolezalkova,2022-09-27 11:05:51 GMT,8666,27 Sep,Verka Dolezalkova,Other,,Legacy verification,"bunker, overgrown,  concrete well-liks structure on the top, stone structure inside,  possibly a reservoir",Annual agriculture,,Scrub,,Lower slope,Medium,42.50648833333333,26.766014999999999,4706040.0576551352,480776.34065223986,1.1000000000000001,.,,Northwest,757,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8666_1.jpg''}}",3,30,NA,NA,,tall overgrown concrete bunker,,,No,,,3 - damaged,Construction,,5 - none or nearly none,Urban development,,Unknown,,,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8666_1.jpg''}}",POINT(480776.340652 4706040.057655)
1.0000316642770181e+018,8667,Verka Dolezalkova,2022-09-27 11:10:38.011 GMT,Verka Dolezalkova,2022-09-27 11:10:38 GMT,8667,27 Sep,Verka Dolezalkova,Surface Scatter,,Legacy verification,Roman pottery scatter,Annual agriculture,,Annual agriculture,,Lower slope,Nil,42.506260000000005,26.766380000000005,4706014.6211203458,480806.25836124021,1.3999999999999999,.,,South,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8667_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8667_2.jpg''}}",0,150,NA,NA,,150m radius of a scatter,,Roman and late antique pottery,No,,,3 - damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(480806.258361 4706014.62112)
1.0000316642795031e+018,8668,Verka Dolezalkova,2022-09-27 11:51:48.302 GMT,Verka Dolezalkova,2022-09-27 11:51:48 GMT,8668,27 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,overploughed mound on annually ploughed field. South of palauzovo next to main road between palauzovo and nedyalsko,Annual agriculture,,Annual agriculture,,Lower slope,Medium,42.506500000000003,26.776441666666663,4706039.042039725,481632.97496561171,1.3999999999999999,,,West,767,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8668_1.jpg''}}",2,40,1.5,NA,,,,,No,,,4 - seriously damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(481632.974966 4706039.04204)
1.0000316643477932e+018,8669,Verka Dolezalkova,2022-09-28 06:50:15.675 GMT,Verka Dolezalkova,2022-09-28 06:50:15 GMT,8669,28 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,"local toponym: Bashchardak, large round mound between villages Malomirovo and Slaveykovo, densely overgrown",Annual agriculture,,Scrub,,Upper slope,High,42.124078333333337,26.669256666666669,4663605.5746777486,472661.88507556927,1.3,81,,East,579,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8669_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8669_2.jpg''}}",4,45,NA,NA,,,Artefact scatter,"Ottoman,  early medieval, early modern,  no diagnostic sherds",No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8669_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8669_2.jpg''}}",2 - minor damage,Animal activity,,3 - impaired,Animal activity,,Last year,,"no observation,  densely overgrown with scrub",,,POINT(472661.885076 4663605.574678)
1.0000316643502849e+018,8670,Verka Dolezalkova,2022-09-28 07:31:27.553 GMT,Verka Dolezalkova,2022-09-28 07:39:59 GMT,8670,28 Sep,Verka Dolezalkova,Other,,Legacy verification,"tank embankment, U-shaped,  2km east from Slaveykovo, in the scrubbby pasture",Scrub,,Pasture,grassland,Upper slope,Medium,42.124359999999996,26.725173333333334,4663620.4657223234,477283.87047893612,1.3,82,,South,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8670_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8670_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8670_3.jpg''}}",2,25,NA,NA,"25m length, 18m max width,",,,,No,,,0 - No observation,Construction,"military trench,  built on purpose,",5 - none or nearly none,Animal activity,,Unknown,,no observation,"if there was a mound, we could not find it, because the military trench covered it all","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8670_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8670_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8670_3.jpg''}}",POINT(477283.870479 4663620.465722)
1.000031664353804e+018,8671,Verka Dolezalkova,2022-09-28 08:30:12.633 GMT,Verka Dolezalkova,2022-09-28 08:30:12 GMT,8671,28 Sep,Verka Dolezalkova,Uncertain Feature,,Legacy verification,"Attempted and failed. this is the closest spot we managed to crawl to. impossible to approach the mound for any side,it is located in a thick dense forest.",Forest,,Forest,,Valley Bottom or Plain,Nil,42.095401666666675,26.616555000000002,4660439.7792902822,468291.45028145914,1.3,83,,No Observation,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8671_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8671_2.jpg''}}",0,0,NA,NA,,,,,No,,,0 - No observation,No observation,,No observation,Not available,,Unknown,,,thick dense forest,,POINT(468291.450281 4660439.77929)
1.0000316643578104e+018,8672,Verka Dolezalkova,2022-09-28 09:36:55.574 GMT,Verka Dolezalkova,2022-09-28 09:53:41 GMT,8672,28 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,Large burial mound in the forest above the highway to Turkey,Forest,,Forest,,Hilltop,High,42.01667166666666,26.596764999999998,4651705.900858216,466613.7255766897,1.6000000000000001,84,,East,613,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8672_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8672_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8672_3.jpg''}, ''4'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8672_4.jpg''}, ''5'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8672_5.jpg''}, ''6'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8672_6.jpg''}}",9,42,NA,NA,,,,,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Last year,,"1RT: large stripe (1m width), cutting the mound in N-S direction,  from its foot to the center/top","possibly military activities, as there are several rectangular trenches 20m east from the foot of the mound","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8672_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8672_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8672_3.jpg''}, ''4'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8672_4.jpg''}}",POINT(466613.725577 4651705.900858)
1.0000316644276646e+018,8673,Verka Dolezalkova,2022-09-29 05:01:09.874 GMT,Verka Dolezalkova,2022-09-29 05:09:23 GMT,8673,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,nw from Malenovo,Annual agriculture,,Pasture,grassland,Valley Bottom or Plain,Super prominent,42.564578333333337,26.791069999999998,4712484.9561337037,482850.70300589543,1.1000000000000001,85,,Northwest,0001-0003,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8673_1.jpg''}}",4,35,NA,NA,,,,,No,,,4 - seriously damaged,Looting,,3 - impaired,Animal activity,,Last month,,"1/4 of mound was taken by looters, old and overgrown RT, impossible to trace its borders",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8673_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8673_2.jpg''}}",POINT(482850.703006 4712484.956134)
1.0000316644283469e+018,8674,Verka Dolezalkova,2022-09-29 05:12:31.421 GMT,Verka Dolezalkova,2022-09-29 05:12:31 GMT,8674,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,"next to 8673,  ne from Malenovo",Perennial agriculture,e.g orchard or vineyard,Perennial agriculture,e.g orchard or vineyard,Valley Bottom or Plain,Medium,42.564349999999997,26.790571666666665,4712459.7030399414,482809.73633341637,2.2999999999999998,86,,Southwest,4,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8674_1.jpg''}}",1.8,34,NA,NA,,,,,No,,,3 - damaged,Agriculture,,Other,Agriculture,,Last year,,none,,,POINT(482809.736333 4712459.70304)
1.0000316644306249e+018,8675,Verka Dolezalkova,2022-09-29 05:50:30.068 GMT,Verka Dolezalkova,2022-09-29 05:50:30 GMT,8675,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,"South from Thrakijska magistrate,damaged with annual ploughing",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,Low,42.545583333333326,26.763516666666668,4710381.7029477302,480583.19423508534,4.7000000000000002,87,,South,0006_0009,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8675_1.jpg''}}",0.7,20,NA,NA,,,,Roman and Thracian Grey ware,No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8675_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8675_2.jpg''}}",4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,no observation,,,POINT(480583.194235 4710381.702948)
1.0000316644322456e+018,8677,Verka Dolezalkova,2022-09-29 06:17:30.765 GMT,Verka Dolezalkova,2022-09-29 06:26:10 GMT,8677,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,ridge north from Thrakijska magistrala,Pasture,grassland,Pasture,grassland,Hilltop,High,42.55793666666667,26.755428333333331,4711755.2980542593,479923.04926838691,4,88,,Northwest,0010-0014,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8677_1.jpg''}}",2,30,NA,NA,,,,,No,,,3 - damaged,Looting,geodetic marker on the top,3 - impaired,Looting,,Unknown,,"overgrown shallow small RTs, one on the south, one on the NE slope of the mound",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8677_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8677_2.jpg''}}",POINT(479923.049268 4711755.298054)
1.0000316644332854e+018,8678,Verka Dolezalkova,2022-09-29 06:34:50.555 GMT,Verka Dolezalkova,2022-09-29 06:39:51 GMT,8678,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,series of mounds on the ridge,Pasture,grassland,Pasture,grassland,Hilltop,Super prominent,42.554739999999995,26.760331666666669,4711399.1905714311,480324.56117503217,4.4000000000000004,89,,South,0025-0026,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8678_1.jpg''}}",3,40,NA,NA,,,,,No,,,3 - damaged,Looting,animals grazing,3 - impaired,Looting,,Last year,,"1RT: oval, 2x2.5m, 1m deep",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8678_1.jpg''}}",POINT(480324.561175 4711399.190571)
1.0000316644340023e+018,8679,Verka Dolezalkova,2022-09-29 06:46:47.514 GMT,Verka Dolezalkova,2022-09-29 06:53:16 GMT,8679,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,series of mounds on the ridge south from Thrakijska magistrala,Pasture,grassland,Pasture,grassland,Hilltop,Medium,42.554111666666664,26.761441666666663,4711329.1634283336,480415.48959423957,6.5999999999999996,90,,Northwest,0027-0030,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8679_1.jpg''}}",1.5,28,NA,NA,,,,,No,,,4 - seriously damaged,Looting,animals grazing,3 - impaired,Looting,,Last year,,"1RT, large cut leading south from the foot to the center,",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8679_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8679_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8679_3.jpg''}}",POINT(480415.489594 4711329.163428)
1.0000316644344659e+018,8681,Verka Dolezalkova,2022-09-29 06:54:31.069 GMT,Verka Dolezalkova,2022-09-29 06:58:27 GMT,8681,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,series of mounds located on the ridge north of Thrakijska magistrala,Pasture,grassland,Pasture,grassland,Hilltop,Medium,42.554414999999999,26.761703333333337,4711362.7850178052,480437.06593913183,2.2000000000000002,91,,Northwest,0031-0034,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8681_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8681_2.jpg''}}",2,37,NA,NA,,,,,No,,,4 - seriously damaged,Looting,,3 - impaired,Looting,,Unknown,,"1RT: cut from south foot to the center, 6x10m, 2m deep
2RT: ov",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8681_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8681_2.jpg''}}",POINT(480437.065939 4711362.785018)
1.0000316644350676e+018,8682,Verka Dolezalkova,2022-09-29 07:04:32.815 GMT,Verka Dolezalkova,2022-09-29 07:11:03 GMT,8682,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,series of mounds on the ridge south of Thrakijska magistrala,Pasture,grassland,Pasture,grassland,Hilltop,Super prominent,42.553364999999999,26.762673333333336,4711245.9698040234,480516.37139872415,3.7000000000000002,92,,South,37,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8682_1.jpg''}}",5,46,NA,NA,,,,modern pile of garbage,No,,,3 - damaged,Construction,military trench around,3 - impaired,Urban development,,Last month,,modern trench with a fireplace and full of modern garbage cut along the west slope of the mound,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8682_1.jpg''}}",POINT(480516.371399 4711245.969804)
1.0000316644355128e+018,8683,Verka Dolezalkova,2022-09-29 07:11:57.948 GMT,Verka Dolezalkova,2022-09-29 07:17:14 GMT,8683,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,series of mounds on the ridge south of the Thrakijska magistrala,Pasture,grassland,Pasture,grassland,Hilltop,Super prominent,42.552738333333338,26.764043333333333,4711176.0707845632,480628.64951478457,2,93,,North,0041-0044,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8683_1.jpg''}}",4,49,NA,NA,,,,,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Last year,,"1Rt on the top, 2x1.5, 0.5m deep, 
2Rt large cut through half of the mound, leading from North foot up to the center
both old overgrown trenches",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8683_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8683_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8683_3.jpg''}}",POINT(480628.649515 4711176.070785)
1.0000316644360925e+018,8684,Verka Dolezalkova,2022-09-29 07:21:37.771 GMT,Verka Dolezalkova,2022-09-29 07:29:36 GMT,8684,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,series of mounds on the ridge south of Thrakijska magistrala,Pasture,grassland,Pasture,grassland,Hilltop,High,42.552585000000001,26.764700000000001,4711158.8947674101,480682.51266293146,1.8999999999999999,94,,North,0045-0050,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8684_1.jpg''}}",3,41,NA,NA,,,Artefact scatter,"2 tiny Roman sherds, fine ware",No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8684_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8684_2.jpg''}}",3 - damaged,Looting,,3 - impaired,Looting,,Unknown,,,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8684_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8684_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8684_3.jpg''}, ''4'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8684_4.jpg''}, ''5'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8684_5.jpg''}}",POINT(480682.512663 4711158.894767)
1.0000316644384261e+018,8685,Verka Dolezalkova,2022-09-29 08:00:31.241 GMT,Verka Dolezalkova,2022-09-29 08:00:31 GMT,8685,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,"ploughed over,  south from the road connecting Malenovo and Atolovo",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,Low,42.563164999999998,26.756891666666668,4712335.505549212,480044.84085673129,9,95,,Northeast,0062-0065,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8685_1.jpg''}}",1,27,NA,NA,,,Artefact scatter,"dense scatter of early Iron age hand-made pottery. 2 sherds per square meter, 150m radius of a scatter from the top of the mound",No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8685_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8685_2.jpg''}}",4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,no observation,,,POINT(480044.840857 4712335.505549)
1.0000316644411795e+018,8686,Verka Dolezalkova,2022-09-29 08:46:23.537 GMT,Verka Dolezalkova,2022-09-29 08:46:23 GMT,8686,29 Sep,Verka Dolezalkova,Extinct Burial Mound,,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,High,42.5779,26.746863333333334,4713974.0916680135,479226.57093028503,1.2,98,,Southwest,71,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8686_1.jpg''}}",1.5,39,NA,NA,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,no observation,,,POINT(479226.57093 4713974.091668)
1.0000316644425638e+018,8687,Verka Dolezalkova,2022-09-29 09:09:26.956 GMT,Verka Dolezalkova,2022-09-29 09:15:06 GMT,8687,29 Sep,Verka Dolezalkova,Extinct Burial Mound,,Legacy verification,South from the road connecting Straldzha and Malenovo,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,Low,42.578948333333329,26.733324999999997,4714093.908710219,478115.92589375278,2.1000000000000001,97,153,Southeast,72,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8687_1.jpg''}}",0.3,15,NA,NA,,,,,No,,,5 - extinct or near extinct,Agriculture,,4 - minimal,Agriculture,,Last month,,,recognizable thanks to soilmarks,,POINT(478115.925894 4714093.90871)
1.0000316644442172e+018,8688,Verka Dolezalkova,2022-09-29 09:37:02.444 GMT,Verka Dolezalkova,2022-09-29 09:37:02 GMT,8688,29 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,"South from Stralzha, half ploughed half vineyard, local toponym Lyubnatsata",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,Low,42.587701666666668,26.714099999999998,4715071.0289672129,476541.55100104905,9.5999999999999996,98,,South,73,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8688_1.jpg''}}",3,65,NA,NA,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(476541.551001 4715071.028967)
1.000031664445449e+018,8689,Verka Dolezalkova,2022-09-29 09:57:38.294 GMT,Verka Dolezalkova,2022-09-29 10:06:04 GMT,8689,29 Sep,Verka Dolezalkova,Uncertain Feature,,Legacy verification,overgrown vineyard around the mound,Perennial agriculture,e.g orchard or vineyard,Scrub,,Valley Bottom or Plain,Low,42.592578333333329,26.707333333333334,4715614.433232327,475988.20912840369,2.1000000000000001,99,,West,0076-0077,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8689_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8689_2.jpg''}}",3,57,NA,NA,,,,,No,,,2 - minor damage,Agriculture,overgrown with scrub and vineyard,3 - impaired,Agriculture,,Last month,,no observation,,,POINT(475988.209128 4715614.433232)
1.0000816629641665e+018,8733,Matilde Jensen,2022-09-12 06:30:04.142 GMT,Matilde Jensen,2022-09-12 06:30:59 GMT,8733,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,Low mound lozenge shape which was ploughed around,Annual agriculture,,Pasture,grassland,Hilltop,Medium,42.117659999999994,26.704163333333334,4662882.3564490518,475544.6858638986,1.2,1,,East,939-940,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8733_1.jpg''}}",0.7,35,0.2,20,,lozenge shaped,Loose artefacts,Highly fragmented corse kitchen and fine ware and couple of large stones,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,none,A mound behind the water pump with a few stones on top. Map id: 205251,,POINT(475544.685864 4662882.356449)
1.0000816629668701e+018,8734,Matilde Jensen,2022-09-12 07:15:22.091 GMT,Matilde Jensen,2022-09-12 07:19:17 GMT,8734,12 Sep,Matilde Jensen,Burial Mound,,Survey,ploughed over terrain way with a distinct lighter soil. Next to the legacy mound 8734.,Annual agriculture,,Annual agriculture,,Hilltop,Low,42.117576666666672,26.704605000000001,4662872.9775063805,475581.16424391995,1.1000000000000001,2,,Southeast,944,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8734_1.jpg''}}",1.1,25,0.7,17,,,Loose artefacts,course kitchen and fine ware. light soil on top of mound. A fragment of a rim. red fabric with black and white inclusions + one gw,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(475581.164244 4662872.977506)
1.0000816629699791e+018,8735,Matilde Jensen,2022-09-12 08:07:31.841 GMT,Matilde Jensen,2022-09-12 08:07:31 GMT,8735,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,5-6 meter tall mound in forest south of Slaveykovo. overgrown by scrub. big and hard to access (no road). numerous RTs,Forest,,Forest,,Valley Bottom or Plain,High (Obscured by forest ),42.116199999999999,26.698603333333335,4662721.8573160507,475084.49659451662,1.3,3,241,Southeast,952,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8735_1.jpg''}}",6,40,NA,NA,,,,,No,,,3 - damaged,Looting,Forest and animals,2 - good,Looting,,Last month,,"01, pear-shaped, 3m, 2m, 1.3m, manually excavated; 02, round, 6m, 5m,1m, manually excavated; 03, C
Cresent, 10m, 5m, 2m, manually excavated",number 03 overgrown with trees,,POINT(475084.496595 4662721.857316)
1.0000816629723549e+018,8736,Matilde Jensen,2022-09-12 08:46:02.885 GMT,Matilde Jensen,2022-09-12 08:47:43 GMT,8736,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,"shallow low mound in a clearance in the forest next to mound 8735. no recent damage, low visibility",Forest,,Forest,,Valley Bottom or Plain,High,42.116371666666659,26.698154999999996,4662741.0485306717,475047.50161106116,1.5,4,,North,955,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8736_1.jpg''}}",0.5,20,NA,13,,,,,No,,,5 - extinct or near extinct,Looting?,,4 - minimal,Looting,,Unknown,,,,,POINT(475047.501611 4662741.048531)
1.0000816629735539e+018,8737,Matilde Jensen,2022-09-12 09:06:06.380 GMT,Matilde Jensen,2022-09-12 09:13:15 GMT,8737,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,Scrub on top of the mound with a little clearance,Forest,,Scrub,,Valley Bottom or Plain,High,42.117126666666671,26.697258333333334,4662825.1394238258,474973.6742157297,1.3999999999999999,5,247,Northeast,958,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8737_1.jpg''}}",6,50,NA,NA,,,,none,No,,,2 - minor damage,Looting,,1 - full,Looting,,Unknown,,"01,rect,6m,4m,1m,",An armored personal carrier with 3 fireteam implacememts,,POINT(474973.674216 4662825.139424)
